,Player,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0,team_name
0,P Amarnath,2008-2008,6,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
1,Akash Singh,2023-2023,6,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
2,MM Ali,2021-2024,48,40,4,853,93,23.69,136.26,-,3,4, Chennai Super Kings
3,S Anirudha,2008-2013,19,12,5,133,64,19.00,123.14,-,1,2, Chennai Super Kings
4,KB Arun Karthik,2010-2010,1,1,1,3,3*,0.00,60.00,-,-,-, Chennai Super Kings
5,R Ashwin,2009-2015,97,31,11,190,23,9.50,94.05,-,-,3, Chennai Super Kings
6,KM Asif,2018-2021,3,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
7,S Badree,2014-2014,4,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
8,S Badrinath,2008-2013,95,67,20,1441,71*,30.65,118.89,-,11,6, Chennai Super Kings
9,GJ Bailey,2009-2010,4,3,-,63,30,21.00,95.45,-,-,-, Chennai Super Kings
10,L Balaji,2008-2010,29,8,2,22,15,3.66,64.70,-,-,3, Chennai Super Kings
11,SW Billings,2018-2019,11,9,-,108,56,12.00,131.70,-,1,2, Chennai Super Kings
12,DE Bollinger,2010-2012,27,4,3,21,16*,21.00,91.30,-,-,-, Chennai Super Kings
13,DJ Bravo,2011-2022,116,75,35,1004,68,25.10,137.15,-,2,4, Chennai Super Kings
14,DL Chahar,2018-2024,76,12,6,66,39,11.00,124.52,-,-,3, Chennai Super Kings
15,PP Chawla,2020-2020,7,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
16,DP Conway,2022-2023,23,22,3,924,92*,48.63,141.28,-,9,2, Chennai Super Kings
17,SM Curran,2020-2021,23,15,4,242,52,22.00,142.35,-,1,2, Chennai Super Kings
18,TU Deshpande,2022-2024,31,2,2,-,0*,0.00,0.00,-,-,-, Chennai Super Kings
19,MS Dhoni,2008-2024,234,202,86,4669,84*,40.25,139.28,-,22,6, Chennai Super Kings
20,S Dube,2022-2024,41,39,7,1103,95*,34.46,159.16,-,8,3, Chennai Super Kings
21,F du Plessis,2012-2021,92,86,9,2721,96,35.33,131.44,-,20,5, Chennai Super Kings
22,SP Fleming,2008-2008,10,10,1,196,45,21.77,118.78,-,-,1, Chennai Super Kings
23,A Flintoff,2009-2009,3,3,1,62,24,31.00,116.98,-,-,-, Chennai Super Kings
24,RD Gaikwad,2020-2024,66,65,8,2380,108*,41.75,136.86,2,18,6, Chennai Super Kings
25,C Ganapathy,2010-2010,1,1,1,-,0*,0.00,0.00,-,-,-, Chennai Super Kings
26,RJ Gleeson,2024-2024,2,1,1,2,2*,0.00,100.00,-,-,-, Chennai Super Kings
27,MS Gony,2008-2010,26,9,5,50,15*,12.50,138.88,-,-,-, Chennai Super Kings
28,RS Hangargekar,2023-2023,2,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
29,Harbhajan Singh,2018-2019,24,4,-,30,19,7.50,76.92,-,-,-, Chennai Super Kings
30,JW Hastings,2014-2014,1,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
31,ML Hayden,2008-2010,32,32,2,1107,93,36.90,137.51,-,8,1, Chennai Super Kings
32,JR Hazlewood,2020-2021,12,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
33,BW Hilfenhaus,2012-2014,17,1,1,-,0*,0.00,0.00,-,-,-, Chennai Super Kings
34,JO Holder,2013-2013,6,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
35,DJ Hussey,2014-2014,5,4,2,116,50*,58.00,123.40,-,1,-, Chennai Super Kings
36,MEK Hussey,2008-2015,50,49,7,1768,116*,42.09,123.63,1,13,1, Chennai Super Kings
37,Imran Tahir,2018-2021,27,3,3,15,13*,0.00,125.00,-,-,-, Chennai Super Kings
38,RA Jadeja,2012-2024,172,125,57,1897,62*,27.89,136.18,-,3,5, Chennai Super Kings
39,KM Jadhav,2018-2020,23,18,6,248,58,20.66,96.49,-,1,1, Chennai Super Kings
40,N Jagadeesan,2020-2022,7,4,1,73,39*,24.33,110.60,-,-,1, Chennai Super Kings
41,SB Jakati,2009-2012,50,7,6,27,13,27.00,100.00,-,-,-, Chennai Super Kings
42,Joginder Sharma,2008-2011,16,6,2,36,16*,9.00,120.00,-,-,2, Chennai Super Kings
43,CJ Jordan,2022-2022,4,2,1,11,6*,11.00,137.50,-,-,-, Chennai Super Kings
44,S Randiv,2011-2011,8,1,-,2,2,2.00,50.00,-,-,-, Chennai Super Kings
45,CK Kapugedera,2008-2008,5,3,-,16,8,5.33,69.56,-,-,1, Chennai Super Kings
46,JM Kemp,2010-2010,5,2,-,26,22,13.00,108.33,-,-,-, Chennai Super Kings
47,SC Kuggeleijn,2019-2019,2,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
48,KMDN Kulasekara,2011-2012,6,1,1,5,5*,0.00,166.66,-,-,-, Chennai Super Kings
49,B Laughlin,2013-2013,2,2,1,4,4*,4.00,44.44,-,-,1, Chennai Super Kings
50,BB McCullum,2014-2015,28,28,2,841,100*,32.34,137.19,1,5,-, Chennai Super Kings
51,SSB Magala,2023-2023,2,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
52,VY Mahesh,2012-2012,5,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
53,M Manhas,2014-2014,12,5,3,35,13*,17.50,152.17,-,-,-, Chennai Super Kings
54,AF Milne,2022-2022,1,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
55,DJ Mitchell,2024-2024,13,13,2,318,63,28.90,142.60,-,2,-, Chennai Super Kings
56,Monu Kumar,2020-2020,1,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
57,RG More,2015-2015,2,1,1,2,2*,0.00,100.00,-,-,-, Chennai Super Kings
58,JA Morkel,2008-2013,78,59,24,827,71,23.62,144.83,-,2,3, Chennai Super Kings
59,CH Morris,2013-2013,16,6,4,14,7*,7.00,87.50,-,-,1, Chennai Super Kings
60,Mukesh Choudhary,2022-2024,14,2,1,6,4,6.00,100.00,-,-,-, Chennai Super Kings
61,A Mukund,2008-2008,2,1,-,-,-,0.00,0.00,-,-,1, Chennai Super Kings
62,M Muralidaran,2008-2010,40,6,2,9,4,2.25,69.23,-,-,1, Chennai Super Kings
63,Mustafizur Rahman,2024-2024,9,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
64,DP Nannes,2013-2013,5,1,1,-,0*,0.00,0.00,-,-,-, Chennai Super Kings
65,P Negi,2014-2015,12,9,1,116,36,14.50,158.90,-,-,-, Chennai Super Kings
66,A Nehra,2014-2015,20,4,3,1,1*,1.00,14.28,-,-,1, Chennai Super Kings
67,L Ngidi,2018-2021,14,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
68,M Ntini,2008-2008,9,2,1,11,11,11.00,61.11,-,-,-, Chennai Super Kings
69,JDP Oram,2008-2009,15,11,4,106,41*,15.14,100.95,-,-,-, Chennai Super Kings
70,IC Pandey,2014-2015,23,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
71,PA Patel,2008-2010,26,26,2,516,57,21.50,102.78,-,3,4, Chennai Super Kings
72,M Pathirana,2022-2024,20,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
73,NLTC Perera,2010-2010,1,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
74,D Pretorius,2022-2023,7,5,1,44,22,11.00,157.14,-,-,1, Chennai Super Kings
75,AM Rahane,2023-2024,27,23,1,568,71*,25.81,147.53,-,2,-, Chennai Super Kings
76,SK Raina,2008-2021,176,171,26,4687,100*,32.32,136.88,1,33,8, Chennai Super Kings
77,AS Rajpoot,2013-2013,2,1,1,2,2*,0.00,33.33,-,-,-, Chennai Super Kings
78,R Ravindra,2024-2024,10,10,-,222,61,22.20,160.86,-,1,1, Chennai Super Kings
79,AT Rayudu,2018-2023,90,80,15,1932,100*,29.72,129.31,1,8,5, Chennai Super Kings
80,WP Saha,2011-2013,14,7,2,144,46*,28.80,108.27,-,-,-, Chennai Super Kings
81,Sameer Rizvi,2024-2024,8,5,1,51,21,12.75,118.60,-,-,1, Chennai Super Kings
82,MJ Santner,2019-2024,18,11,5,70,22,11.66,98.59,-,-,1, Chennai Super Kings
83,V Shankar,2014-2014,1,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
84,KV Sharma,2018-2020,12,1,1,-,0*,0.00,0.00,-,-,-, Chennai Super Kings
85,MM Sharma,2013-2019,48,10,6,29,21*,7.25,103.57,-,-,3, Chennai Super Kings
86,DR Shorey,2018-2019,2,2,-,13,8,6.50,76.47,-,-,-, Chennai Super Kings
87,Simarjeet Singh,2022-2024,10,3,2,7,3*,7.00,87.50,-,-,-, Chennai Super Kings
88,DR Smith,2014-2015,32,32,-,965,79,30.15,128.49,-,7,3, Chennai Super Kings
89,PH Solanki,2022-2022,2,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
90,TG Southee,2011-2011,5,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
91,BA Stokes,2023-2023,2,2,-,15,8,7.50,107.14,-,-,-, Chennai Super Kings
92,SB Styris,2011-2011,2,1,1,5,5*,0.00,250.00,-,-,-, Chennai Super Kings
93,SN Thakur,2018-2024,57,13,7,67,17,11.16,121.81,-,-,2, Chennai Super Kings
94,M Theekshana,2022-2024,27,2,1,7,7*,7.00,100.00,-,-,1, Chennai Super Kings
95,T Thushara,2009-2010,6,4,2,12,8,6.00,66.66,-,-,-, Chennai Super Kings
96,S Tyagi,2009-2010,14,3,2,3,3*,3.00,75.00,-,-,1, Chennai Super Kings
97,RV Uthappa,2021-2022,16,15,-,345,88,23.00,135.29,-,3,1, Chennai Super Kings
98,S Vidyut,2008-2008,9,8,-,145,54,18.12,133.02,-,1,1, Chennai Super Kings
99,M Vijay,2009-2020,70,70,4,1708,127,25.87,125.12,2,7,3, Chennai Super Kings
100,SR Watson,2018-2020,43,43,2,1252,117*,30.53,136.38,2,7,4, Chennai Super Kings
101,DJ Willey,2018-2018,3,-,-,-,-,0.00,0.00,-,-,-, Chennai Super Kings
102,MA Wood,2018-2018,1,1,-,1,1,1.00,33.33,-,-,-, Chennai Super Kings
103,Anand Rajan,2011-2012,6,-,-,-,-,0.00,0.00,-,-,-, Deccan Chargers
104,Anirudh Singh,2010-2010,5,4,-,63,40,15.75,95.45,-,-,1, Deccan Chargers
105,Ankit Sharma,2012-2012,9,4,1,18,15,6.00,138.46,-,-,-, Deccan Chargers
106,A Ashish Reddy,2012-2012,9,5,1,35,10*,8.75,120.68,-,-,-, Deccan Chargers
107,SB Bangar,2008-2008,11,7,1,47,17*,7.83,95.91,-,-,1, Deccan Chargers
108,AA Bilakhia,2009-2010,7,7,2,69,22,13.80,81.17,-,-,-, Deccan Chargers
109,B Chipli,2011-2012,19,17,6,244,61*,22.18,119.02,-,1,-, Deccan Chargers
110,DT Christian,2011-2012,21,20,4,335,39,20.93,120.93,-,-,1, Deccan Chargers
111,H Das,2008-2008,1,1,-,2,2,2.00,40.00,-,-,-, Deccan Chargers
112,KH Devdhar,2011-2011,1,-,-,-,-,0.00,0.00,-,-,-, Deccan Chargers
113,S Dhawan,2011-2012,29,29,3,969,95*,37.26,129.37,-,7,-, Deccan Chargers
114,JP Duminy,2011-2012,19,19,6,449,74,34.53,123.35,-,3,-, Deccan Chargers
115,FH Edwards,2009-2009,6,2,1,4,3*,4.00,80.00,-,-,-, Deccan Chargers
116,HH Gibbs,2008-2010,33,33,3,805,69*,26.83,111.96,-,5,4, Deccan Chargers
117,AC Gilchrist,2008-2010,46,46,1,1220,109*,27.11,147.34,1,7,4, Deccan Chargers
118,MS Gony,2011-2012,9,3,1,4,4,2.00,40.00,-,-,1, Deccan Chargers
119,Harmeet Singh,2009-2011,17,3,1,-,0*,0.00,0.00,-,-,2, Deccan Chargers
120,DJ Harris,2012-2012,4,4,-,111,47,27.75,109.90,-,-,-, Deccan Chargers
121,RJ Harris,2009-2010,16,10,5,66,15,13.20,115.78,-,-,-, Deccan Chargers
122,IR Jaggi,2011-2012,5,5,1,43,25,10.75,74.13,-,-,-, Deccan Chargers
123,Jaskaran Singh,2009-2010,8,5,4,8,4*,8.00,72.72,-,-,-, Deccan Chargers
124,AA Jhunjhunwala,2012-2012,5,3,1,24,19,12.00,92.30,-,-,-, Deccan Chargers
125,D Kalyankrishna,2008-2008,3,1,-,3,3,3.00,37.50,-,-,-, Deccan Chargers
126,VVS Laxman,2008-2010,17,17,2,238,52,15.86,105.77,-,1,3, Deccan Chargers
127,MJ Lumb,2011-2011,1,1,-,-,-,0.00,0.00,-,-,1, Deccan Chargers
128,CA Lynn,2012-2012,1,1,-,6,6,6.00,66.66,-,-,-, Deccan Chargers
129,I Malhotra,2011-2011,1,1,1,7,7*,0.00,175.00,-,-,-, Deccan Chargers
130,MR Marsh,2010-2010,3,2,-,28,15,14.00,93.33,-,-,-, Deccan Chargers
131,A Mishra,2011-2012,28,14,7,84,25*,12.00,121.73,-,-,4, Deccan Chargers
132,MD Mishra,2010-2010,11,11,-,166,41,15.09,115.27,-,-,1, Deccan Chargers
133,T Mishra,2012-2012,1,-,-,-,-,0.00,0.00,-,-,-, Deccan Chargers
134,PP Ojha,2008-2011,54,14,6,6,2,0.75,31.57,-,-,5, Deccan Chargers
135,PA Patel,2012-2012,14,13,2,194,45,17.63,117.57,-,-,1, Deccan Chargers
136,V Pratap Singh,2012-2012,9,1,-,-,-,0.00,0.00,-,-,1, Deccan Chargers
