,Player,Span,Mat,Inns,Balls,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,5,10,Ct,St,team_name
0,P Amarnath,2008-2008,6,6,132,-,236,7,2/29,33.71,10.72,18.8,-,-,2,-, Chennai Super Kings
1,Akash Singh,2023-2023,6,6,114,-,188,5,2/40,37.60,9.89,22.8,-,-,1,-, Chennai Super Kings
2,MM Ali,2021-2024,48,35,499,-,585,25,4/26,23.40,7.03,19.9,-,-,18,-, Chennai Super Kings
3,S Anirudha,2008-2013,19,-,0,-,-,-,-,0.00,-,-,-,-,11,-, Chennai Super Kings
4,KB Arun Karthik,2010-2010,1,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Chennai Super Kings
5,R Ashwin,2009-2015,97,94,2026,4,2180,90,3/16,24.22,6.45,22.5,-,-,20,-, Chennai Super Kings
6,KM Asif,2018-2021,3,3,49,-,93,4,2/43,23.25,11.38,12.2,-,-,-,-, Chennai Super Kings
7,S Badree,2014-2014,4,4,84,-,97,2,1/19,48.50,6.92,42.0,-,-,-,-, Chennai Super Kings
8,S Badrinath,2008-2013,95,-,0,-,-,-,-,0.00,-,-,-,-,16,-, Chennai Super Kings
9,GJ Bailey,2009-2010,4,-,0,-,-,-,-,0.00,-,-,-,-,-,-, Chennai Super Kings
10,L Balaji,2008-2010,29,29,562,-,809,31,5/24,26.09,8.63,18.1,1,-,5,-, Chennai Super Kings
11,SW Billings,2018-2019,11,-,0,-,-,-,-,0.00,-,-,-,-,6,-, Chennai Super Kings
12,DE Bollinger,2010-2012,27,27,576,3,693,37,4/13,18.72,7.21,15.5,-,-,8,-, Chennai Super Kings
13,DJ Bravo,2011-2022,116,113,2257,2,3147,140,4/42,22.47,8.36,16.1,-,-,59,-, Chennai Super Kings
14,DL Chahar,2018-2024,76,76,1597,6,2106,76,4/13,27.71,7.91,21.0,-,-,12,-, Chennai Super Kings
15,PP Chawla,2020-2020,7,7,126,-,191,6,2/33,31.83,9.09,21.0,-,-,-,-, Chennai Super Kings
16,DP Conway,2022-2023,23,-,0,-,-,-,-,0.00,-,-,-,-,8,-, Chennai Super Kings
17,SM Curran,2020-2021,23,22,450,-,672,22,3/19,30.54,8.96,20.4,-,-,8,-, Chennai Super Kings
18,TU Deshpande,2022-2024,31,31,671,-,1051,39,4/27,26.94,9.39,17.2,-,-,5,-, Chennai Super Kings
19,MS Dhoni,2008-2024,234,-,0,-,-,-,-,0.00,-,-,-,-,134,35, Chennai Super Kings
20,S Dube,2022-2024,41,3,18,-,50,1,1/14,50.00,16.66,18.0,-,-,14,-, Chennai Super Kings
21,F du Plessis,2012-2021,92,1,6,-,16,-,-,0.00,16.00,-,-,-,62,-, Chennai Super Kings
22,SP Fleming,2008-2008,10,-,0,-,-,-,-,0.00,-,-,-,-,2,-, Chennai Super Kings
23,A Flintoff,2009-2009,3,3,66,-,105,2,1/11,52.50,9.54,33.0,-,-,4,-, Chennai Super Kings
24,RD Gaikwad,2020-2024,66,-,0,-,-,-,-,0.00,-,-,-,-,36,-, Chennai Super Kings
25,C Ganapathy,2010-2010,1,1,6,-,13,-,-,0.00,13.00,-,-,-,-,-, Chennai Super Kings
26,RJ Gleeson,2024-2024,2,2,47,-,71,1,1/30,71.00,9.06,47.0,-,-,-,-, Chennai Super Kings
27,MS Gony,2008-2010,26,26,510,3,707,23,3/34,30.73,8.31,22.1,-,-,5,-, Chennai Super Kings
28,RS Hangargekar,2023-2023,2,2,36,-,60,3,3/36,20.00,10.00,12.0,-,-,-,-, Chennai Super Kings
29,Harbhajan Singh,2018-2019,24,23,455,1,582,23,3/20,25.30,7.67,19.7,-,-,8,-, Chennai Super Kings
30,JW Hastings,2014-2014,1,1,18,-,29,1,1/29,29.00,9.66,18.0,-,-,-,-, Chennai Super Kings
31,ML Hayden,2008-2010,32,-,0,-,-,-,-,0.00,-,-,-,-,11,-, Chennai Super Kings
32,JR Hazlewood,2020-2021,12,12,270,-,357,12,3/24,29.75,7.93,22.5,-,-,1,-, Chennai Super Kings
33,BW Hilfenhaus,2012-2014,17,17,372,2,479,22,3/27,21.77,7.72,16.9,-,-,1,-, Chennai Super Kings
